timestamp,t_rel,pos:left_shoulder_left_top_leg-left_shoulder,pos:left_bottom_leg_left_foot-left_bottom_leg,pos:left_motor_left_shoulder--left_motor,pos:right_motor_right_shoulder-right_motor,pos:left_top_leg_left_bottom_leg-left_top_leg,pos:right_shoulder_right_top_leg-right_shoulder,pos:right_top_leg_right_bottom_leg--right_top_leg,pos:right_bottom_leg_right_foot-right_bottom_leg,vel:left_shoulder_left_top_leg-left_shoulder,vel:left_bottom_leg_left_foot-left_bottom_leg,vel:left_motor_left_shoulder--left_motor,vel:right_motor_right_shoulder-right_motor,vel:left_top_leg_left_bottom_leg-left_top_leg,vel:right_shoulder_right_top_leg-right_shoulder,vel:right_top_leg_right_bottom_leg--right_top_leg,vel:right_bottom_leg_right_foot-right_bottom_leg
2025-11-10T09:08:23,0.077,-0.6599034336741463,-0.5859057398442219,-2.548036604810311e-05,1.071483960711986e-05,-1.2029976751553597,0.6119137877709626,1.2029749502567106,0.5859723715120474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-10T09:08:23,0.177,-0.6599055447985603,-0.5859103700676824,-2.627094106255136e-05,1.2183071055350402e-05,-1.2029949203148123,0.6119219677109042,1.202979508233377,0.5859752905845942,-2.1245087609037894e-05,-4.659578678227002e-05,-7.955871919057997e-06,1.4775399090758747e-05,2.772305999109401e-05,8.23180005588049e-05,4.586873845564321e-05,2.9375792151645368e-05
2025-11-10T09:08:23,0.277,-0.6599077192923206,-0.5859151392759566,-2.7085246664075635e-05,1.3695374215427688e-05,-1.2029920827825753,0.611930393187036,1.2029842030262343,0.5859782972785609,-2.1390327756577108e-05,-4.691433472443829e-05,-8.01026152809961e-06,1.4876409789291375e-05,2.7912586219533745e-05,8.288076023037046e-05,4.61823159966873e-05,2.9576617135804722e-05
2025-11-10T09:08:23,0.377,-0.6599097662004714,-0.5859196286571023,-2.7851773937412582e-05,1.5118944943153222e-05,-1.2029894117388733,0.6119383243092508,1.2029886223581916,0.5859811275586471,-2.1096864457412804e-05,-4.627069636530528e-05,-7.900365232738935e-06,1.4672313790880425e-05,2.752964119195206e-05,8.174368268627984e-05,4.5548720523967704e-05,2.9170842537879864e-05
2025-11-10T09:08:23,0.477,-0.6599118769432006,-0.5859242580434326,-2.8642206018326464e-05,1.658691093964759e-05,-1.2029866573963925,0.6119465027702843,1.2029931795107898,0.5859840461034345,-2.1096114980280514e-05,-4.626905257459755e-05,-7.900084568182224e-06,1.4671792549352382e-05,2.752866318717315e-05,8.17407786993678e-05,4.554710238220997e-05,2.9169806228335488e-05
2025-11-10T09:08:23,0.577,-0.6599139878371938,-0.5859288877615225,-2.9432694744617364e-05,1.8054982136182962e-05,-1.202983902856525,0.6119546818174176,1.202997736989971,0.585986964857376,-2.110519342333801e-05,-4.628896386947725e-05,-7.903484268464114e-06,1.4678106367493878e-05,2.754050979531641e-05,8.177595479752439e-05,4.556670299499231e-05,2.9182359081230732e-05
2025-11-10T09:08:23,0.677,-0.6599160987399894,-0.5859335174989179,-3.022318676718544e-05,1.9523059454462278e-05,-1.2029811483051713,0.6119628608986569,1.2030022944881564,0.5859898836234885,-2.11037780699997e-05,-4.628585964460921e-05,-7.902954246003123e-06,1.4677122026183717e-05,2.753866287705703e-05,8.177047074875196e-05,4.556364720672823e-05,2.9180402057473698e-05
2025-11-10T09:08:23,0.777,-0.6599182095900133,-0.5859381471205725,-3.101365902789996e-05,2.0991100071638814e-05,-1.20297839382268,0.6119710397754238,1.203006851872407,0.5859928023166335,-2.1069277352656213e-05,-4.621019094977695e-05,-7.890034398811549e-06,1.4653127685853786e-05,2.7493642330790576e-05,8.163679137327594e-05,4.548915919381396e-05,2.913269757611838e-05
2025-11-10T09:08:23,0.877,-0.6599203247575381,-0.5859427862115851,-3.1805748108615134e-05,2.2462143396879358e-05,-1.2029756337062116,0.6119792353811415,1.2030114185782623,0.5859957269796293,-2.1134484645687607e-05,-4.6353206840011964e-05,-7.91445326118732e-06,1.469847764128486e-05,2.7578732386751322e-05,8.188944902658973e-05,4.5629943562757854e-05,2.92228603430045e-05
2025-11-10T09:08:24,0.977,-0.659922431223253,-0.5859474062173538,-3.259457853082241e-05,2.392713484239577e-05,-1.2029728849448764,0.6119873972700955,1.2030159664966666,0.5859986396105467,-2.1108487964643588e-05,-4.629618962090793e-05,-7.904718009928065e-06,1.4680397633955942e-05,2.754480889559001e-05,8.178872010236315e-05,4.5573816001171044e-05,2.9186914475499104e-05
